"県下","けんか","in the prefecture, prefectural"
"兼ねる","かねる","to be unable to, to find difficult (unpleasant, awkward, painful) to do; to serve two or more functions or roles simultaneously, to contain (or combine) two or more features; to work in two or more jobs simultaneously (positions, etc.), to do alongside; to hesitate to do something (out of consideration for others); to think of the future (as well as the present)"
"目的地","もくてきち","destination (one is heading towards), goal"
"","マネージャー, マネジャー, マネージャ","manager; person in a (school or university) sports team in charge of administrative and miscellaneous duties"
"冷酷","れいこく","cruelty, coldheartedness, relentless, ruthless"
"閉じこもる","とじこもる","to seclude oneself, to shut oneself away"
"地下鉄","ちかてつ","subway, metro, underground (railway)"
"変身","へんしん","metamorphosis, disguise, transformation, shapeshifting, morphing"
"","フランク","frank, candid"
"経営者","けいえいしゃ","manager, proprietor"
"人種","じんしゅ","race (of people); type of person"
"燕","つばめ, つばくらめ, つばくら, つばくろ, ツバメ","swallow (bird of the Hirundinidae family), martin; barn swallow (Hirundo rustica); younger man involved with an older woman, boy toy"
"委員長","いいんちょう","chairperson (of a committee), chair, chairman, chairwoman, president"
"冷ややか","ひややか","cold, chilly, cool; cold (attitude, stare, etc.), frigid, indifferent, distant, surly, curt; composed, cool, calm"
"悠々","ゆうゆう","quiet, calm, leisurely, composed; easily, comfortably, without difficulty; distant, far-off, boundless, endless, eternal"
"組合","くみあい","association, union, guild"
"形態","けいたい","form, shape, figure; morph"
"","てっきり","surely, certainly, without doubt"
"結末","けつまつ","end, conclusion"
"始終","しじゅう","continuously, from beginning to end, from first to last"
"短刀","たんとう","short sword, knife, dagger, dirk, tantō"
"降伏","こうふく","surrender, capitulation, submission; yield"
"購入","こうにゅう","purchase, buying"
"戦略","せんりゃく","strategy, tactics"
"数多く","かずおおく","in great numbers"
"委員","いいん","committee member"
"我が家","わがや, わがいえ","one's house, one's home, one's family"
"拝見","はいけん","seeing, looking at"
"お客様","おきゃくさま","guest, visitor; customer, client, shopper, spectator, audience, tourist, sightseer, passenger"
"","ミセス, ミセズ","Mrs"
"三枚","さんまい","three flat objects (sheets of paper, pieces of cloth, etc.); cutting a fish into two boneless fillets and a piece with the skeleton"
"移る","うつる","to move (house), to transfer (department); to change the target of interest or concern; to elapse (passage of time); to be permeated by a colour or scent; to be infected, to be contagious, to spread (as in fire)"
"別々","べつべつ","separate, respective, different"
"淀む","よどむ","to stagnate; to settle (at the bottom), to deposit, to be sedimented; to become sluggish, to become dull, to become stale; to be delayed, to hesitate, to falter, to stammer, to stumble"
"蠅","はえ, ハエ","fly (any insect of infraorder Muscomorpha); person of no worth, pisher, scrub"
"点検","てんけん","detailed inspection, thorough examination, checking"
"東方","とうほう, ひがしかた, ひがしがた","eastern direction; the Orient; eastern fighter in a match (e.g. sumo wrestling)"
"一通","いっつう","one copy (of a document), one letter; one-way traffic; pure straight, winning hand containing nine consecutive tiles of the same suit (i.e. 1-9)"
"光線","こうせん","beam, light ray"
"","リビング","living, lifestyle; living room"
"生やす","はやす","to grow, to cultivate; to let grow (e.g. weeds)"
"野心","やしん","ambition, aspiration; sinister designs, treachery"
"思いつき","おもいつき","idea, plan, fancy, impulse, thought, whim, suggestion"
"口ぶり","くちぶり","way of speaking; intimation"
"間隔","かんかく","space, interval; space character, whitespace"
"亡霊","ぼうれい","departed spirit, soul of the dead; ghost, apparition"
"１４日","じゅうよっか","14th day of the month; 14 days"
"","ハム","ham (cured pig meat); ham (amateur radio enthusiast)"
"態勢","たいせい","attitude, posture, preparedness, readiness"
"報酬","ほうしゅう","remuneration, recompense, reward, toll"
"仰天","ぎょうてん","being amazed, being horrified, being taken aback"
"筆者","ひっしゃ","writer, author"
"筒","つつ","pipe, tube, cylinder; gun barrel; gun, cannon; well lining, well curb"
"真っ黒","まっくろ","pitch black"
"征服","せいふく","conquest, subjugation; overcoming (a difficulty), conquering (e.g. a mountain), mastery (of a skill)"
"一人前","いちにんまえ, ひとりまえ","one portion, one serving, one person; adult, grown-up, person who has come of age; fully fledged, established, qualified"
"戦術","せんじゅつ","tactics"
"賦課","ふか","levy, imposition"
"確率","かくりつ","probability, likelihood, chances"
"俳句","はいく","haiku, 17-mora poem, usu. in 3 lines of 5, 7 and 5 morae"
"破産","はさん","bankruptcy, insolvency"
"","カバー, カヴァー","cover, covering, dust jacket, wrapper; covering (a song), cover, cover version; coverage; to cover (a loss), to offset, to compensate for (e.g. a weakness), to make up for, to cover for (someone)"
"商店街","しょうてんがい","shopping district, shopping street, downtown"
"首","くび, クビ","neck; head; dismissal (from a job), firing, sacking"
"上機嫌","じょうきげん","good humour (humor), good mood"
"洞穴","ほらあな, どうけつ","cave, cavern, den, grotto"
"","がっくり, ガックリ","heartbroken, crestfallen, dejected, disappointed; feeling exhausted, feeling drained"
"香港","ホンコン, ホングコング","Hong Kong"
"怒気","どき","anger, wrath"
"販売","はんばい","sale, sales, selling, marketing"
"集落","しゅうらく, じゅらく","settlement, village, community, town; (bacterial) colony"
"","きっちり, キッチリ","exactly, precisely, punctually, on the dot; closely, tightly, (fitting) perfectly; properly, without fail"
"観測","かんそく","observation, survey, measurement; opinion, prediction, thinking"
"焦点","しょうてん","focus, focal point; focus (of attention, a discussion, etc.), point at issue, central point; focus"
"彫刻","ちょうこく","carving, engraving, sculpture"
"装甲","そうこう","armoring, armouring, armor, armour"
"弥撒","ミサ","(Catholic) Mass"
"","ぶつかる, ぶっつかる","to bump into, to run into, to collide with, to hit, to strike; to encounter, to meet with, to come upon, to face, to run up against, to be confronted with; to clash (of opinions, people, etc.), to conflict, to be at odds (with); to clash (of events), to fall (on), to occur at the same time (as); to tackle head-on (a difficulty), to confront boldly"
"亜細亜","アジア","Asia"
"体制","たいせい","order, system, structure, set-up, organization, organisation"
"素朴","そぼく","simple, artless, naive, unsophisticated"
"応答","おうとう","reply, answer, response"
"目先","めさき","before one's eyes, under one's nose; immediate (e.g. interests), present, at hand, short-run; foresight, near future; appearance"
"御殿","ごてん","palace, court"
"何千","なんぜん","many thousands"
"見たところ","みたところ","judging from appearances, to all appearances, from the looks of it, on the face of it, apparently, seemingly"
"見届ける","みとどける","to make sure of, to ascertain, to see with one's own eyes, to watch to the end, to watch to make sure (that)"
"汲む","くむ","to draw (water), to ladle, to dip up, to scoop up, to pump; to pour (into a cup), to drink (together); to consider (feelings, the situation, etc.), to sympathize with, to intuit, to understand; to draw upon, to inherit"
"葉巻","はまき","cigar"
"金曜日","きんようび","Friday"
"東西","とうざい, ひがしにし","east and west; Orient and Occident, East and West; ladies and gentlemen!, your attention, please!, roll-up, roll-up"
"国際","こくさい","international; diplomatic intercourse"
"圧力","あつりょく","pressure, stress; pressure (e.g. political), coercion, arm-twisting"
"祝い","いわい, ゆわい","congratulation, congratulations, celebration, festival; congratulatory gift, present"
"偵察","ていさつ","scouting, reconnaissance"
"断つ","たつ","to sever, to cut off; to suppress, to eradicate, to exterminate; to abstain (from), to give up"
"幻覚","げんかく","hallucination, illusion"
"林檎","りんご, リンゴ","apple (fruit); apple tree (Malus pumila)"
"大家","おおや","landlord, landlady"
"完了","かんりょう","completion, conclusion; perfect (tense)"
"一足","いっそく","a pair (of shoes or socks)"
"闘争","とうそう","fight, battle, combat, conflict; struggle (for rights, higher wages, etc.), strife, (labor) dispute, strike"
"埃及","エジプト, エジブト","Egypt"
"急激","きゅうげき","sudden, abrupt, rapid, sharp, drastic, radical"
"記号","きごう","sign, symbol, mark"
"中島","なかじま","island in a pond or river"
"償う","つぐなう, つぐのう","to make up for, to compensate for, to indemnify, to recompense, to redeem (e.g. a fault), to atone for"
"卑怯","ひきょう","cowardly, craven; unfair, mean, sneaky, dirty, dastardly"
"持ち帰る","もちかえる","to take home, to carry home, to bring back home, to take out (e.g. food)"
"見慣れる","みなれる","to get used to seeing, to become accustomed to seeing, to be familiar with"
"","グレー, グレイ","grey, gray"
"棲む","すむ","to live (of animals), to inhabit, to nest"
"余暇","よか","leisure, leisure time, spare time"
"","バット","bat (in baseball, cricket, etc.)"
"孕む","はらむ","to conceive, to become pregnant; to get filled with (e.g. sails filled with wind), to be swollen with; to contain (a contradiction, danger, etc.), to carry (a problem, consequences, etc.), to involve (e.g. risk); to be swollen and ripe (of a plant ear, head, sprout, etc.)"
"椿","つばき, さんちゃ, ツバキ","common camellia (Camellia japonica); tea produced in the mountains"
"岬","みさき","cape (on coast)"
"差し込む","さしこむ","to insert, to put in, to thrust in, to plug in; to come in (of light), to shine in, to stream in, to pour in; to have a griping pain (in the stomach, chest, etc.)"
"阻止","そし","obstruction, prevention, hindrance, check, blocking, stopping"
"当局","とうきょく","authorities, relevant authorities, authorities concerned; this office"
"山脈","さんみゃく","mountain range, mountain belt"
"手早い","てばやい","nimble, quick, agile"
"","プリンス","prince"
"本堂","ほんどう","main hall (of a Buddhist temple), main temple"
"論じる","ろんじる","to discuss, to talk about, to deal with (a topic); to argue, to dispute; to take into consideration, to make an issue of"
"","ジュース","juice; soft drink (usu. fruit-based), sweetened drink"
"","ハウス","house; plastic greenhouse; house music; go to your kennel (cage, bed, etc.)!"
"無きゃいけない","なきゃいけない","cannot do without something, indispensable, absolutely necessary; have to do"
"同一","どういつ","identical, same, one and the same, equal; fair, equal treatment, without discrimination"
"地殻","ちかく","(Earth's) crust"
"浴室","よくしつ","bathroom"
"巨体","きょたい","huge body, large build"
"一日中","いちにちじゅう, いちにちぢゅう","all day long, all the day, throughout the day"
"躓く","つまずく, つまづく","to trip (over), to stumble; to fail, to suffer a setback"
"食器","しょっき","tableware"
"欺く","あざむく","to deceive, to delude, to trick, to fool; to be as ... as ... (e.g. ""as bright as day"", ""as beautiful as a rose"")"
"口走る","くちばしる","to blurt out, to let slip, to say inadvertently, to come out with (e.g. nonsense)"
"騎馬","きば","horse riding, horseback riding, horseback rider"
"上海","シャンハイ","Shanghai (China)"
"壕","ごう","moat, fosse, trench, ditch; underground air-raid shelter, dugout"
"利口","りこう","clever, intelligent, bright, smart, wise, sensible, shrewd; well-behaved (esp. of children and pets), obedient, good"
"","ロケット","rocket"
"不平","ふへい","discontent, dissatisfaction, complaint, grievance"
"","メニュー","menu; schedule, program, programme, course, services; menu"
"感じ取る","かんじとる","to perceive, to sense, to take in, to grasp, to feel"
"監獄","かんごく","prison"
"二番","にばん","second, number two, runner-up"
"人差し指","ひとさしゆび","index finger, forefinger; second toe"
"技師","ぎし","engineer, technician"
"","カム","cam"
"執着","しゅうちゃく, しゅうじゃく","attachment, adhesion, insistence, tenacity, fixation, obsession, clinging (e.g. to old customs)"
"何分","なにぶん","some, any, (a) little, of some kind, of some sort; please; anyway, anyhow, at any rate, after all"
"","キョロキョロ, きょろきょろ, きょときょと, キョトキョト","(looking around) restlessly, (looking) all around, goggling"
"疎か","おろか","not to mention ..., needless to say ..., not to speak of ..., not only ...; negligent, neglectful, careless, remiss"
"歴史的","れきしてき","historical, traditional; historic"
"鳴き声","なきごえ","cry (of an animal), call, chirp, song, caw, roar, bark, yelp, meow"
"","シェル","shell"
"故障","こしょう","fault, trouble, breakdown, failure, being out of order; damage (to a part of the body), injury, hurt; problem, hitch, obstacle, hindrance; objection, protest"
"柔らか","やわらか","soft, tender, pliant, supple; soft (colour, light, etc.), subdued, gentle (demeanour, voice, etc.), mild; informal, light, flexible (e.g. thinking)"
"空腹","くうふく","empty stomach, hunger"
"関西","かんさい, かんせい","Kansai (region comprising Kyoto, Osaka, Kobe and surrounding prefectures); Kansai (western half of Japan; during the feudal era)"
"引き起こす","ひきおこす","to cause, to induce, to bring about, to provoke; to pull upright, to help up (e.g. a fallen person)"
"出血","しゅっけつ","bleeding, haemorrhage, hemorrhage; bleeding money, red ink, selling below cost"
"","チョコレート","chocolate"
"小舟","こぶね, おぶね","small boat"
"観光","かんこう","sightseeing, tourism"
"一通り","ひととおり","generally, in the main, briefly (look over, explain, etc.), roughly, more or less; (more or less) everything, all parts, bit of everything, whole process; ordinary, usual, average, common; one method"
"汚染","おせん","pollution, contamination"
"手当","てあて","salary, pay, compensation, allowance (e.g. housing allowance), benefit, bonus; medical care, treatment; advance preparation"
"虚空","こくう","empty space, empty sky"
"威張る","いばる, えばる","to put on airs, to act big, to throw one's weight about, to be overbearing, to be domineering, to be bossy, to be pushy, to be proud, to be haughty, to be arrogant, to swagger, to boast, to brag"
"競争","きょうそう","competition, contest, rivalry, race; competition (between organisms or species)"
"仕組み","しくみ","structure, construction, arrangement, contrivance, mechanism, workings; plan, plot, contrivance"
"難解","なんかい","difficult to understand, unintelligible, abstruse"
"尾根","おね","(mountain) ridge"
"","アイデア, アイディア, アィディア","idea"
"４０００","よんせん, しせん","four thousand, 4,000"
"排除","はいじょ","exclusion, removal, elimination, clearing away, getting rid of"
"旋回","せんかい","revolution, rotation, turning, circling, swiveling; turning (an aircraft or ship)"
"尋問","じんもん","questioning, interrogation, examination (of a witness)"
"情勢","じょうせい","state of things, state of affairs, situation, conditions, circumstances"
"次男","じなん","second son"
"この頃","このごろ","these days, nowadays, now, at present, recently, lately"
"一員","いちいん","one person, one member"
"砂浜","すなはま","sandy beach"
"害","がい","injury, harm, evil influence, damage"
"外気","がいき","open air"
"通報","つうほう","report, notification, tip, bulletin; message (in information and communication theory)"
"元年","がんねん","first year (of an imperial era); year something (important) first happened or began"
"圧迫","あっぱく","pressure; oppression, suppression"
"対決","たいけつ","confrontation, showdown"
"国道","こくどう","national road, national highway"
"質問をする","しつもんをする","to ask a question, to ask questions"
"繊細","せんさい","dainty, delicate (e.g. fingers), fine, slim; sensitive, delicate (feelings, sense, etc.), subtle"
"根性","こんじょう","willpower, guts, determination, grit, spirit; character, nature, disposition, personality"
"揶揄う","からかう","to tease, to make fun of, to poke fun at, to make a crack about, to chaff, to kid, to joke, to banter, to pull someone's leg"
"令嬢","れいじょう","(your) daughter, young woman; daughter of a good family"
"罪人","ざいにん","criminal, lawbreaker, wrongdoer, offender"
"冷ます","さます","to cool (e.g. from a high temperature to room temperature), to let cool; to dampen, to throw a damper on, to spoil"
"数年前","すうねんまえ","a few years ago, some years back"
"差別","さべつ, しゃべつ, しゃべち","distinction, differentiation, discrimination; discrimination (against people)"
"重荷","おもに, じゅうか","load, heavy burden, encumbrance, heavy freight, heavy responsibility"
"妻子","さいし, つまこ, めこ","wife and children; wife"
"舅","しゅうと, しうと, しいと","father-in-law"
"和やか","にこやか","smiling, beaming, radiant, bright, cheerful"
"辞す","じす","to take one's leave, to excuse oneself, to leave, to depart; to resign (from), to step down, to leave (one's position), to quit; to decline, to turn down, to refuse; to do unwaveringly, to be prepared to do, to not mind doing"
"車輪","しゃりん","(vehicle) wheel"
"後輩","こうはい","junior (at work, school, etc.), younger people, younger student"
"顧問","こもん","adviser, advisor, consultant"
"集合","しゅうごう","meeting up, gathering, assembly; set"
"万が一","まんがいち, まんがいつ","(if) by some chance, by some possibility, in the unlikely event that, 10000 to 1; (unlikely event of) emergency, the worst(-case scenario)"
"苦笑い","にがわらい","bitter smile, wry smile, forced smile, strained laugh"
"戦前","せんぜん","pre-war days, before the war"
"刈る","かる","to cut (grass, hair, etc.), to mow, to clip, to trim, to prune, to shear, to reap, to harvest"
"","ぐるっと, ぐるりと","turning round, going around, turning about, rotating; surrounding, encircling"
"郷里","きょうり","hometown, birthplace"
"無口","むくち","taciturn, reticent, quiet, silent, untalkative"
"問答","もんどう","questions and answers, dialogue"
"団長","だんちょう","leader of a delegation (body, party)"
"指導者","しどうしゃ","leader, guide, mentor, coach"
"察知","さっち","to sense, to infer, to gather, to pick up on, to get wind of, to perceive"
"裁判所","さいばんしょ","court, courthouse"
"追っかける","おっかける","to chase, to run after, to pursue"
"紋","もん","(family) crest, coat of arms; pattern, figure; playing card suit (in karuta)"
"","せっせと","diligently, assiduously, industriously, beavering away"
"業界","ぎょうかい","business world, business circles, (the) industry"
"血管","けっかん","blood vessel, vein"
"悪化","あっか","deterioration, getting worse, worsening, aggravation, degeneration, corruption"
"綺麗","きれい, キレイ, きれーい","pretty, lovely, beautiful, fair; clean, clear, pure, tidy, neat; completely, entirely"
"妙","みょう","strange, weird, odd, curious; wonder, mystery, miracle, excellence; cleverness, adroitness, knack, skill"
"お返し","おかえし","return gift, return favour; revenge; change (in a cash transaction)"
"窓際","まどぎわ","at the window, by the window, next to the window"
"車掌","しゃしょう","(train) conductor"
"住宅","じゅうたく","residence, housing, residential building"
"お家","おうち","your home, your family, their home, their family; (my) home"
"案の定","あんのじょう","as expected, just as one thought, as feared, sure enough"
"太平洋","たいへいよう","Pacific Ocean"
"","アップ","rise, increase, raising, lifting, going up; upload, posting online; close-up; completion of filming; upswept hairstyle; being up (in points, games, etc.), being ahead, leading; warm-up; finishing, completion, being over"
"神妙","しんみょう, しんびょう","meek, quiet, docile, humble, faithful, obedient; mysterious, marvelous, marvellous"
"極度","きょくど","maximum, extreme, utmost"
"野原","のはら","field, plain, prairie, moor"
"明瞭","めいりょう","clear, plain, distinct, obvious, evident, articulate"
"犯罪者","はんざいしゃ","criminal, culprit"
"","ジーンズ, ジンス","jeans; denim, jean"
"経済的","けいざいてき","economic, financial; economical, thrifty, frugal"
"妨害","ぼうがい","obstruction, hindrance, blocking, disturbance, interference, interruption, sabotage, jamming (a signal)"
"軍事","ぐんじ","military affairs"
"住職","じゅうしょく","chief priest (of a Buddhist temple)"
"訂正","ていせい","correction, revision, amendment"
"宝物","たからもの, ほうもつ","treasure, treasured item, prized possession"
"好んで","このんで","by (from) choice, by (for) preference, of one's own accord, of one's (own) free will, on purpose, deliberately, intentionally"
"昼休み","ひるやすみ","lunch break, noon recess, noon rest period"
"鋼","はがね, こう","steel; sword steel, sword"
"会合","かいごう","meeting, assembly, gathering; association; conjunction"
"軸","じく","axis, shaft, axle; center, centre, focal point, key point; stalk, stem; hanging scroll"
"温度","おんど","temperature"
"決戦","けっせん","decisive battle, deciding match, play-off"
"までも無い","までもない","there is no need to ..., it should hardly be necessary to ..."
"作り","つくり","making, producing, manufacturing, building, construction, make, structure; appearance (attire, make-up, etc.); build, physique; sashimi; forced (smile, etc.)"
"丸太","まるた, マルタ","log; dace (Tribolodon hakonensis); test subject (of human experiments performed by Unit 731 during WWII); prostitute dressed as a Buddhist nun"
"瞬時","しゅんじ","instant, moment, (split) second, (in a) flash, (in the) blink of an eye"
"回廊","かいろう","corridor, gallery, hallway, cloister (i.e. covered walk typically circling a building or garden, esp. in a palace or place of worship)"
"女史","じょし","lady (of high social status; e.g. scholar, artist, critic, politician); Ms, Mrs, Miss"
"幻影","げんえい","phantom, vision, illusion"
"石油","せきゆ","oil, petroleum; kerosene, paraffin"
"申し込む","もうしこむ","to apply for, to make an application, to propose (marriage), to offer (mediation), to make an overture (of peace), to challenge, to lodge (objections), to request (an interview), to subscribe for, to book, to reserve"
"千葉","ちば","Chiba (city, prefecture)"
"製品","せいひん","manufactured goods, finished goods, product"
"見栄","みえ","show, display, pretensions, appearances, ostentation, vanity; pose, posture"
"お世辞","おせじ","flattery, compliment"
"受験","じゅけん","taking an examination (esp. for entrance to a school or university)"
"寒気","さむけ, かんき","chill, the shivers, shivering fit; cold, coldness, cold air"
"剥げる","はげる","to peel off, to come off, to flake off, to be worn off; to fade, to discolor, to discolour"
"半月","はんげつ, はんつき","half-moon; half a month; semicircle"
"藩主","はんしゅ","feudal lord, daimyo"
"納屋","なや","barn (for storage), shed, outbuilding"
"微塵","みじん, びじん","particle, atom, little piece; not at all, not the slightest"
"有りとあらゆる","ありとあらゆる","every conceivable, every single, every possible, all kinds of"
"間柄","あいだがら","relationship, relation, terms (good, friendly, etc.)"
"短大","たんだい","junior college, vocationally oriented two or three year post-secondary education institution"
"","スピーカー, スピーカ","speaker"
"一挙に","いっきょに","at a stroke, with a single swoop"
"目当て","めあて","mark, guide, landmark; purpose, aim, goal, intention, end; sight (on a firearm)"
"","クレー, クレイ","clay; clay pigeon shooting, clay target"
"沸く","わく","to grow hot (e.g. water), to boil; to get excited (at), to erupt (in applause, cheering, etc.), to be in a ferment, to take place energetically; to ferment; to melt (of metal)"
"愛す","あいす","to love"
"責任者","せきにんしゃ","person in charge (including a supervisory role for other staff), person responsible for ..., responsible party, supervisor, manager"
"先代","せんだい","previous generation (of a family), previous head of the family, one's (late) father; predecessor; previous age, previous generation"
"待ち受ける","まちうける","to await, to wait for, to expect"
"埋もれる","うもれる, うずもれる, うづもれる","to be buried, to be covered, to be hidden"
"平ら","たいら","flat, level, even, smooth; calm, tranquil, placid, composed, stable; relaxed (sitting posture), comfortable; plateau, tableland, plain"
"整った","ととのった","well-ordered, in good order, well-featured, well-regulated"
"粒子","りゅうし","particle, grain"
"断じて","だんじて","absolutely, positively, decidedly"
"","タイム","time (for, to do); time (to finish a race, lap, etc.); time-out"
"書き込む","かきこむ","to fill in (field, entry, etc.), to fill out (form); to post a message (e.g. on a bulletin-board); to store; to write (data), to flash"
"盛大","せいだい","grand, magnificent, lavish, large scale, prosperous, thriving, lively; forceful, powerful, vigorous"
"豊富","ほうふ","abundant, plentiful, rich, ample"
"言動","げんどう","speech and conduct, words and actions, words and deeds, behavior, behaviour, manners"
"言い分","いいぶん","one's say, one's point, one's case, one's claim; complaint, objection, grievance"
"物騒","ぶっそう","dangerous, unsettled, troubled, disturbed, insecure"
"浸す","ひたす","to soak, to dip, to steep, to immerse; to moisten, to wet"
"","ブリッジ","bridge (road, railway, ship, etc.); (contact) bridge; Seven Bridge (Japanese rummy game); bridge; bridge (of a pair of glasses); bridge (in wrestling); bridge (circuit); (network) bridge; bridge; bridge (exercise)"
"文芸","ぶんげい","literature; the arts, art and literature, liberal arts"
"作成","さくせい","making (a report, plan, contract, etc.), drawing up, writing out, preparing, creating (a file, website, account, etc.)"
"発掘","はっくつ","excavation, exhumation, digging up, unearthing; discovery (of a new fact, talent, etc.), finding, unearthing"
"地名","ちめい","place name, toponym"
"政","まつりごと, せい","rule, government"
"敬意","けいい","respect, honour, honor"
"２４日","にじゅうよっか, にじゅうよんにち, にじゅうよにち","24th day of the month; 24 days"
"前回","ぜんかい","previous time, last time, previous installment, previous instalment, previous session"
"生前","せいぜん","while alive, during one's lifetime"
"迫力","はくりょく","impressiveness, impact, force, intensity, presence, appeal, strength, punch, edge, vigor"
"見入る","みいる","to gaze (at), to stare intently (at), to look fixedly (at), to fix one's eyes (on); to fascinate, to enchant, to possess, to bewitch, to enthrall"
"水着","みずぎ","bathing suit, swimsuit, swimmers"
"象","しょう","form, shape, figure, appearance, phenomenon"
"支店","してん","branch office, branch store"
"上流","じょうりゅう","upper stream, upper course, upper reaches; upstream; upper classes"
"退院","たいいん","leaving hospital, discharge from hospital"
"","ウェイ, ウェー, ウエー","way"
"見解","けんかい","opinion, point of view"
"肺","はい","lung"
"","パック","pack, packet, carton; to pack, to package, to wrap; (cosmetic) face pack, face mask, facial mask, facial; package (tour, holiday, etc.)"
"縁談","えんだん","marriage proposal, marriage talks"
"旅立つ","たびだつ","to begin a trip, to depart, to embark; to die, to pass away, to depart this life"
"お菓子","おかし","confections, sweets, candy, cake"
"目を通す","めをとおす","to scan, to look over"
"人工","じんこう","artificial, man-made, human work, human skill, artificiality"
"当て","あて","aim, object, purpose, end; expectations, prospects, hopes; something that can be relied upon; snack served with alcoholic drink; pad, guard; blow, strike; addressed to; per"
"順序","じゅんじょ","order, sequence; procedure"
"紛れもない","まぎれもない","unmistakable, evident, obvious, certain, beyond doubt"
"","パジャマ","pajamas, pyjamas"
"分別","ふんべつ","discretion, prudence, good sense, judgement, judgment, wisdom, discernment"
"","ずらり, ズラリ","in a row, in a line"
"優勝","ゆうしょう","overall victory, championship, winning the title; (being in) heaven, bliss, perfect contentment"
"団地","だんち","multi-unit apartments, apartment complex"
"台風","たいふう","typhoon, hurricane"
"１３日","じゅうさんにち","13th day of the month; 13 days"
"反響","はんきょう","echo, reverberation; response, reaction, repercussions, sensation, influence"
"","オーバー, オーバ","overcoat; exceeding, going over, going beyond; exaggerated, overdone, over the top; over par; overexposure"
"一変","いっぺん","complete change, about-face"
"達者","たっしゃ","in good health, healthy, well, fit, robust, strong; skilled, proficient, adept; master, expert"
"","イブ, イヴ","eve (esp. Christmas Eve), the night before"
"被告","ひこく","defendant, the accused"
"月曜日","げつようび","Monday"
"終わり","おわり","end, ending, close, conclusion; end of (one's) life, death"
"","ギラギラ, ぎらぎら","glaringly, dazzlingly, blazingly"
"構想","こうそう","plan, plot, idea, conception, vision, scheme"
"出演","しゅつえん","appearance (in a film, play, TV show, etc.), performance"
"負傷","ふしょう","injury, wound"
"越後","えちご","Echigo (former province located in present-day Niigata Prefecture)"
"股","また","groin, thigh, crotch, crutch; fork (in a tree, road, river, etc.), tines (of a fork)"
"数分","すうふん","several minutes, a few minutes"
"無力","むりょく","powerlessness, helplessness, incompetence, ineffectiveness"
"殺到","さっとう","rush, flood, deluge"
"無念","むねん","regret, chagrin, mortification; freedom from obstructive thoughts"
"演劇","えんげき","drama, theatre, theater, play"
"待ち合わせる","まちあわせる","to rendezvous, to meet at a prearranged place and time, to arrange to meet"
"足首","あしくび","ankle"
"関する","かんする","to concern, to be related"
"修業","しゅうぎょう, しゅぎょう","pursuit of knowledge, studying, learning, training, completing a course"
"激突","げきとつ","crash, smashing (into), ramming, (violent) collision; clash (of views, interests, teams, etc.), conflict"
"気軽","きがる","carefree, buoyant, lighthearted, sprightly; ease"
"姑","しゅうとめ, しゅうと, しうとめ, しいとめ","mother-in-law"
"迷路","めいろ","maze, labyrinth; inner ear"
"桶","おけ","bucket, pail, tub"
"","ずるずる, ズルズル, づるづる","(dragging a large or heavy item) slowly; (falling) little by little, (slipping) gradually, (drawing back) slowly, with a slither; on and on, while putting off, slovenly, interminably; with a slurp, with a sniffle; loose, lax, inconclusive, unresolved"
"負担","ふたん","burden, load, responsibility; bearing (a cost, responsibility, etc.), shouldering"
"不安定","ふあんてい","instability, insecurity, crankiness"
"選挙","せんきょ","election"
"自在","じざい","being able to do as one pleases, doing at will; pothook"
"強める","つよめる","to strengthen, to emphasize, to emphasise"
"栄光","えいこう","glory"
"１８日","じゅうはちにち","18th day of the month; 18 days"
"新幹線","しんかんせん","Shinkansen, bullet train"
"","スタジオ, スタディオ","studio"
"終始","しゅうし","beginning and end; doing something from beginning to end, being unchanged from beginning to end; from beginning to end, the whole time, throughout, consistently"
"体勢","たいせい","posture, position, stance"
"泊める","とめる","to give shelter to, to lodge, to put up, to accommodate"
"傑作","けっさく","masterpiece, masterwork, chef d'oeuvre, fine piece of work; (unintentionally) hilarious, absurd (e.g. blunder), outrageous, wild"
"商会","しょうかい","firm, company"
"悪人","あくにん","bad person, villain, scoundrel, wrongdoer, wicked person"
"編成","へんせい","composition, formation, organization, organisation, compilation"
"","ブロック","block (solid piece of material), chunk (e.g. of meat); concrete block; (interlocking) toy blocks; (printing) block; block (area of a city); blocking (e.g. the way), obstructing; block; blocking (a user, website, etc.); block"
"予算","よさん","estimate (of costs), budget"
"戦線","せんせん","(war) front"
"疎ら","まばら","sparse, thin, scattered, straggling, sporadic"
"詠む","よむ","to compose (a Japanese poem), to write, to use as the theme of a poem; to recite (e.g. a poem), to chant, to intone"
"跳躍","ちょうやく","jump, leap, skip, bound"
"政権","せいけん","(political) administration, political power"
"修正","しゅうせい","amendment, correction, revision, modification, alteration, retouching, update, fix"
"違法","いほう","illegal, illicit, unlawful"
"やり直す","やりなおす","to do over again, to redo, to start over, to remake, to resume, to recommence"
"水晶","すいしょう","(rock) crystal, high purity quartz"
"箪笥","たんす, タンス","chest of drawers, bureau, cabinet, tansu, dresser"
"災難","さいなん","calamity, misfortune, disaster"
"つかの間","つかのま","moment, brief space of time"
"屑","くず, クズ","waste, scrap, garbage, dregs; scum, piece of trash, loser"
"炒める","いためる","to fry, to saute, to stir-fry"
"値する","あたいする","to be worth, to be worthy of, to deserve, to merit"
"取り返す","とりかえす","to get back, to regain, to recover, to make up (for), to catch up on"
