"責任","せきにん","duty, responsibility (incl. supervision of staff); liability, onus"
"清い","きよい","clean, clear; pure, honest, clean, innocent, platonic, chaste"
"泊まる","とまる","to stay at (e.g. hotel); to be docked, to be berthed, to be moored"
"縫う","ぬう","to sew, to stitch; to weave one's way (e.g. through a crowd)"
"爪","つめ","nail (e.g. fingernail, toenail), claw, talon, hoof; plectrum, pick; hook, clasp"
"浜","はま, ハマ","beach, seashore; captured pieces, captured stones; Yokohama; riverbank, riverside"
"冷める","さめる","to cool down, to get cold; to cool off (excitement, temper, etc.), to subside, to dampen, to fade, to wane; to be cold (eyes, expression, etc.), to be composed"
"拳銃","けんじゅう","pistol, handgun"
"習慣","しゅうかん","habit; (social) custom, practice, convention, tradition"
"叔母","おば, はくぼ, しゅくぼ","aunt"
"宜しく","よろしく","well, properly, suitably; best regards, please remember me, please treat me favorably (favourably), please take care of, please do; just like ..., as though one were ...; by all means, of course"
"同士","どうし, どし","fellow, mutual, companion, comrade"
"最中","さいちゅう, さなか","(in) the middle of, (in) the midst of, (in) the course of, (at) the height of"
"少佐","しょうさ","major, lieutenant commander, wing commander"
"僕ら","ぼくら","we, us"
"回転","かいてん","rotation, revolution, turn, spin; working (e.g. of one's mind), function; turnover (of goods, funds, etc.), circulation, flow (of customers); rotation, curl; slalom"
"上手く行く","うまくいく","to go smoothly, to turn out well, to do the trick, to have peaceful relations"
"大将","たいしょう, だいしょう","general, admiral; head, chief, leader, boss, kingpin; old chap, mate, boss, chief, man; athlete who competes in the last match of a team competition (kendo, judo, etc.)"
"焼ける","やける","to burn, to burn down, to go down in flames; to be roasted, to be thoroughly cooked; to be sunburnt, to fade (in the sun); to glow red (i.e. of the sky at sunset); to become hot (from the sun); to be jealous, to be envious"
"詰める","つめる","to stuff into, to jam, to cram, to pack, to fill, to plug, to stop up; to shorten, to move closer together; to reduce (spending), to conserve; to focus intently on, to strain oneself to do; to go through thoroughly, to work out (details), to bring to a conclusion, to wind up; to be on duty, to be stationed; to corner (esp. an opponent's king in shogi), to trap, to checkmate; to cut off (one's finger as an act of apology), to catch (one's finger in a door, etc.); to do non-stop, to do continuously, to keep doing (without a break); to do completely, to do thoroughly; to force someone into a difficult situation by ..."
"対象","たいしょう","target, object (of worship, study, etc.), subject (of taxation, etc.), coverage"
"幻","まぼろし","phantom, vision, illusion, apparition; something fleeting, short-lived dream; fabled item, mythical thing, very rare thing"
"苦い","にがい","bitter"
"１１月","じゅういちがつ","November; eleventh month of the lunar calendar"
"迷惑","めいわく","trouble, bother, annoyance, nuisance, inconvenience; to be troubled (by), to be bothered (by), to be inconvenienced (by)"
"任せる","まかせる","to leave (a matter, decision, etc. to someone), to entrust (to someone), to entrust (someone) with; to leave (to chance, one's imagination, etc.), to let (take its own course), to let (happen), to give (oneself to something); to use (money, strength, spare time, etc.) to the full, to use freely, to use without reserve"
"公爵","こうしゃく","prince, duke"
"相応しい","ふさわしい","appropriate, adequate, suitable, fitting, worthy"
"鈍い","にぶい","dull (e.g. a knife), blunt; thickheaded, obtuse, stupid; dull (sound, color, etc.), dim (light); slow, sluggish, inert, lethargic; insensitive, dull (e.g. reflexes), unperceptive, unfeeling"
"通り","とおり","street, road, avenue, thoroughfare; traffic, coming and going; flow (of water, air, etc.), passage, running; transmission (of sound), reach (of voice); reputation, favor, favour, popularity; understanding, comprehension, comprehensibility, clarity; the same way (as), as (follows, stated, expected, etc.); counter for sets of things; counter for methods, ways, kinds, etc."
"自転車","じてんしゃ, じでんしゃ","bicycle, bike"
"回復","かいふく","restoration, recovery, rehabilitation, return, improvement; recovery (from an illness), recuperation, convalescence"
"立ち止まる","たちどまる, たちとまる","to stop (in one's tracks), to come to a stop, to halt, to pause, to stand still"
"邸内","ていない","grounds, premises"
"証言","しょうげん","testimony, (verbal) evidence"
"生える","はえる","to grow, to spring up, to sprout; to cut (teeth)"
"友","とも","friend, companion, comrade, pal; accompaniment, companion (e.g. book), complement, accessory"
"次々","つぎつぎ","in succession, one by one"
"押し付ける","おしつける","to press against, to push against, to force against; to foist on (task, responsibility), to impose (one's will)"
"可哀想","かわいそう","poor, pitiable, pathetic, pitiful"
"","トラック","truck, lorry"
"罠","わな","trap (for catching animals), snare; trap, trick, ruse"
"交渉","こうしょう","negotiations, bargaining, discussions, talks; connection, relationship, relations, dealings"
"大河","たいが","large river"
"大佐","たいさ, だいさ","colonel, (navy) captain"
"戸惑う","とまどう","to be bewildered, to be perplexed"
"立ち去る","たちさる","to leave, to depart, to take one's leave"
"二期","にき","two periods, two terms"
"弁","べん","speech, tongue, talk, eloquence; dialect, brogue, accent; bento, Japanese box lunch; petal; valve; Oversight Department, division of the daijokan under the ritsuryō system responsible for controlling central and provincial governmental offices"
"彫る","ほる, える","to carve, to engrave, to sculpt, to chisel; to tattoo"
"小声","こごえ","low voice, whisper"
"","プロ","professional, pro; program; production; proletarian, proletariat; propaganda"
"解釈","かいしゃく","interpretation, explanation, reading, construction"
"８日","ようか","8th day of the month; eight days"
"堂","どう","temple, shrine, chapel; hall; company; front room"
"大尉","たいい, だいい","captain (Army, US Marine Corps, USAF), lieutenant (Navy), flight lieutenant (RAF, RAAF, RNZAF, etc.)"
"婆さん","ばあさん, ばーさん","grandmother; old woman, female senior citizen"
"詩人","しじん","poet"
"鎖","くさり","chain, chains"
"退屈","たいくつ","tedious, boring, dull, uninteresting, tiresome, monotonous; to feel bored, to get bored (with), to get tired (of)"
"様に","ように","like, as; so that, in order that, so as to, in order to; be sure to; I hope (that), I pray (that), may"
"着替える","きがえる, きかえる","to change (one's clothes)"
"旧","きゅう","old, former, ex-; the old, old things, old customs; old times, bygone days; Japan's old (lunisolar) calendar"
"見物","けんぶつ","sightseeing, watching, viewing; sightseer, spectator, viewer, onlooker"
"黄金","おうごん","gold (Au); golden, prosperous, excellent, superb; money (esp. ōban coin), cash"
"原稿","げんこう","manuscript, copy, draft, notes, contribution"
"あり得ない","ありえない","impossible; unthinkable, ridiculous, absurd"
"集団","しゅうだん","group, mass"
"中学","ちゅうがく","junior high school, middle school, lower secondary school"
"宣伝","せんでん","publicity, advertisement, advertising, propaganda"
"恋愛","れんあい","love, love-making, passion, emotion, affections"
"奴隷","どれい","slave, servant; slavery"
"魅力","みりょく","charm, fascination, glamour, glamor, attraction, appeal"
"注","ちゅう","annotation, explanatory note, comment"
"看護婦","かんごふ","(female) nurse"
"１２月","じゅうにがつ","December; twelfth month of the lunar calendar"
"遠慮","えんりょ","reserve, constraint, restraint, modesty, diffidence, hesitation, holding back, discretion, tact, thoughtfulness; declining, refraining; forethought, foresight"
"虎","とら, トラ","tiger (Panthera tigris); drunkard, drunk, sot"
"針","はり, ち","needle, pin; hook; stinger, thorn; hand (e.g. clock, etc.), pointer; staple (for a stapler); needlework, sewing; malice; counter for stitches"
"些とも","ちっとも","(not) at all, (not) a bit, (not) in the least, (not) in the slightest"
"祭る","まつる","to deify, to enshrine; to pray, to worship"
"必死","ひっし","frantic, frenetic, desperate; inevitable death; brinkmate (inevitable checkmate)"
"見下ろす","みおろす","to overlook, to command a view of, to look down on; to despise, to look down on"
"割に","わりに","comparatively, relatively, fairly, rather, pretty, unexpectedly; considering ..., for ..., despite ..., in spite of ..."
"技","わざ, ぎ","technique, art, skill, move"
"","エネルギー, エネルギ","energy; energy, strength, power, stamina, get-up-and-go; energy source, energy resource; food energy, calories"
"伝説","でんせつ","legend, folklore, tradition"
"荒い","あらい","rough, wild, violent, rude, coarse, harsh, fierce, heavy (e.g. breathing); immoderate, extravagant, reckless"
"","ニュース, ニューズ","news"
"可笑しな","おかしな","funny, amusing, comical, laughable, ridiculous; strange, odd, funny, peculiar, weird, wrong, unusual, eccentric; wrong, unsuitable, improper, inappropriate, unbecoming; suspicious"
"局","きょく","bureau, department; office (e.g. post, telephone), broadcasting station (e.g. television, radio), channel, exchange; affair, situation; game (of go, shogi, etc.)"
"生物","せいぶつ","living thing, organism, creature, life; biology"
"遭難","そうなん","(meeting with) disaster, (having an) accident, mishap, shipwreck, distress"
"道場","どうじょう","dojo, hall used for martial arts training; manda (place of Buddhist practice or meditation, esp. the place under the bodhi tree where Buddha attained enlightenment)"
"食堂","しょくどう","dining room, dining hall, cafeteria, canteen, messroom; restaurant, eatery, snack bar, diner"
"止める","とめる","to stop, to turn off; to park; to prevent, to suppress (a cough), to hold back (tears), to hold (one's breath), to relieve (pain); to stop (someone from doing something), to dissuade, to forbid, to prohibit; to notice, to be aware of, to concentrate on, to pay attention to, to remember, to bear in mind; to fix (in place), to fasten, to tack, to pin, to nail, to button, to staple; to detain, to keep in custody"
"卒業","そつぎょう","graduation, completion (of a course); moving on (from), outgrowing (something); leaving (a group, company, etc.), quitting"
"","ボート","boat; rowboat, rowing boat"
"据える","すえる","to place (in position), to fix, to set (e.g. table), to lay (foundation); to install, to seat (someone); to settle (upon something), to fix (e.g. one's gaze); to apply (moxa)"
"霞む","かすむ","to become misty, to become hazy; to get blurry, to grow dim; to be overshadowed, to be upstaged, to be outshone"
"何年","なんねん","how many years, how long; what year"
"４日","よっか","4th day of the month; four days"
"怪物","かいぶつ","monster"
"編む","あむ","to knit, to plait, to braid; to compile (anthology, dictionary, etc.), to edit"
"現象","げんしょう","phenomenon"
"何という","なんという, なんとゆう","how (beautiful, etc.), what a ...; nothing worth mentioning, nothing special; of what name"
"泉","いずみ","spring, fountain"
"身につける","みにつける","to learn, to acquire knowledge; to carry, to wear (clothes, etc.), to put on"
"染める","そめる","to dye, to colour, to color"
"下げる","さげる","to hang, to suspend, to wear (e.g. decoration); to lower, to reduce, to bring down; to demote, to move back, to pull back; to clear (plates), to remove (food, etc. from table or altar); to keep on playing after one has formed a scoring combination with captured cards"
"受け入れる","うけいれる","to accept, to receive, to agree"
"陸軍","りくぐん","army"
"暑い","あつい, あづい, あぢぃ, あぢー, あぢい, あっつい","hot, warm, sultry, heated; passionate, impassioned, burning (desire, etc.); on everybody's mind, on the radar, du jour, interested (gaze, etc.)"
"誰でも","だれでも","anyone, anybody, everyone, everybody, whoever"
"狐","きつね, けつね, きつ, キツネ","fox (esp. the red fox, Vulpes vulpes); fox (i.e. a sly person); soba or udon topped with deep-fried tofu; light brown, golden brown"
"嫌がる","いやがる","to appear uncomfortable (with), to seem to hate, to express dislike"
"惑星","わくせい","planet; dark horse, surprise contender"
"画面","がめん","screen (of a TV, computer, etc.); image (on a screen), picture, scene; surface of a painting (picture, drawing, etc.)"
"座敷","ざしき","tatami room, tatami mat room, formal Japanese room; dinner party in a tatami room (esp. when a geisha or maiko attends)"
"精々","せいぜい","at the most, at best; to the utmost, as much as possible, as much as one can"
"微妙","びみょう, ビミョー","subtle, delicate, fine; difficult, complex, tricky, delicate (situation, position, etc.), close (e.g. decision); doubtful, questionable, dicey; not great, iffy"
"又は","または","or, either ... or ..."
"洋袴","ズボン","trousers, pants"
"権利","けんり","right, privilege"
"手足","てあし, しゅそく","hands and feet, limbs; person at one's beck and call, person at hand, reliable worker"
"無用","むよう","useless, futile; unnecessary, needless; not on business, unrelated, unauthorised, unauthorized; prohibited, banned, forbidden"
"魔術","まじゅつ","magic, sorcery, witchcraft; magic tricks (with large-scale props)"
"唱える","となえる","to recite, to chant; to cry, to yell, to shout; to advocate, to advance, to preach, to insist"
"如何","いかが","how, in what way, how about; questionable"
"その内に","そのうちに","before very long, soon, someday, one of these days, sooner or later"
"会長","かいちょう","president (of a society), chairman"
"内心","ないしん","inner thoughts, real intention, inmost heart, one's mind; at heart, deep down, on the inside; inner center (centre)"
"差す","さす","to shine; to be visible; to be tinged with; to rise (of water levels), to flow in; to be felt (i.e. as an emotion), to come over one; to hold up (an umbrella, etc.), to put up, to raise; to extend one's arm straight ahead (in dance); to insert, to put in; to wear (a sword) in one's belt, to wear at one's side, to carry under one's arm; to insert one's arm under an opponent's arm; to pole (a boat); to pour, to add (liquid), to serve (drinks); to put on (lipstick, etc.), to apply, to colour, to dye; to light (a fire), to burn; to shut, to close, to lock, to fasten; to stop in the midst of, to leave undone"
"仕方","しかた","way, method, means, resource, course"
"同意","どうい","agreement, consent, approval, assent; same opinion, same view; same meaning"
"有様","ありさま, ありよう","state, condition, circumstances, sight, spectacle; the way things should be, ideal state; truth"
"剥ける","むける","to peel off, to come off, to be taken off"
"大正","たいしょう","Taishō era (1912.7.30-1926.12.25), Taisho era"
"一家","いっか, いっけ","a family, a household, a home, one's family, whole family; (one's own) style, school; gang, (yakuza) family"
"判事","はんじ","judge, judiciary"
"評判","ひょうばん","reputation, (public) estimation, popularity; rumour, rumor, talk (e.g. of the town); fame, notoriety"
"宝石","ほうせき","gem, jewel, precious stone"
"具","ぐ","tool, means; ingredients (added to soup, rice, etc.); counter for sets of armor, utensils, furniture, etc."
"室内","しつない","indoor, inside the room"
"皮膚","ひふ","skin"
"防ぐ","ふせぐ","to defend against, to protect against; to prevent, to avert, to avoid"
"動機","どうき","motive, incentive; motif"
"一般","いっぱん","general, universal; ordinary, average, common, non-celebrity; the same, no different, (just) as if"
"掃除","そうじ","cleaning, sweeping, dusting, scrubbing"
"満たす","みたす","to satisfy (conditions, one's appetite, etc.), to meet (e.g. demands), to fulfill, to gratify; to fill (e.g. a cup), to pack, to supply"
"動揺","どうよう","shaking, trembling, pitching, rolling, oscillation; disturbance, unrest, agitation, excitement, commotion, turmoil, discomposure, feeling shaken"
"挙句","あげく","after (a long process), at the end of; last line (of a renga)"
"周辺","しゅうへん","circumference, outskirts, environs, around, in the area of, in the vicinity of; (computer) peripheral"
"厄介","やっかい","trouble, burden, nuisance, bother, worry; care, dependence, support, kindness, obligation, staying (with a person)"
"滝","たき","waterfall; rapids"
"資料","しりょう","material, materials, data, information, documents"
"小柄","こがら","small build, small stature, petite; small pattern"
"服装","ふくそう","attire, dress, clothes, clothing, costume, garb"
"信仰","しんこう","(religious) faith, belief, creed"
"貫く","つらぬく","to go through, to pierce, to penetrate; to run through (e.g. a river through a city), to pass through; to stick to (opinion, principles, etc.), to carry out, to persist with, to keep (e.g. faith), to maintain (e.g. independence)"
"感触","かんしょく","feel (of something), touch, texture, sensation; feeling, impression"
"秘書","ひしょ","(private) secretary; treasured book, secret book"
"導く","みちびく","to guide, to lead, to show the way, to conduct; to derive, to deduce"
"監視","かんし","monitoring, watching, observation, surveillance, guarding, supervision, lookout"
"四つ","よっつ, よつ","four, 4; four years of age; ten o'clock (in the old time system); burakumin; cross grips"
"開発","かいはつ, かいほつ","development, exploitation (of resources)"
"","リア, リヤ","rear"
"認識","にんしき","recognition, awareness, perception, understanding, knowledge, cognition, cognizance, cognisance"
"乱暴","らんぼう","violence, assault, rowdiness, wildness, running riot; rough (handling, language, etc.), reckless, careless, coarse, rude, unreasonable (e.g. demand), wild (e.g. argument); rape, sexual assault"
"掘る","ほる","to dig, to excavate, to hollow; to delve into; to dig up (e.g. vegetables); (for two men) to have anal sex"
"呆れる","あきれる","to be amazed, to be shocked, to be astonished, to be astounded, to be disgusted, to be exasperated, to be fed up"
"見出す","みいだす, みだす","to find out, to discover, to notice, to detect; to select, to pick out; to look out (from the inside); to be wide-eyed (in surprise, anger, etc.)"
"示唆","しさ","suggestion, hint, implication"
"汚い","きたない","dirty, filthy, foul, unclean; disordered, messy, untidy, poor (e.g. handwriting); indecent (language, etc.), dirty, vulgar, coarse; dastardly, mean, base, underhanded; stingy, greedy"
"国王","こくおう","king, queen, monarch, sovereign; the Crown (as a focus of authority in the UK, etc.), the throne"
"財産","ざいさん","property, fortune, assets"
"練習","れんしゅう","practice, training, drill, (an) exercise, workout"
"諸君","しょくん","you (people); gentlemen, ladies and gentlemen, my friends, everyone"
"様になる","ようになる","to reach the point where ..., to come to ..., to come to be that ..., to start to ..., to begin to ..."
"代表","だいひょう","representation, representative, delegate, delegation; exemplification, typification, being representative of, being typical of, representative example, exemplar, model; leader; switchboard number, main number"
"収まる","おさまる","to fit into (a box, frame, category, etc.), to be contained within, to fall within (e.g. a budget); to settle down (into), to be installed (in one's rightful place), to be returned (to one's original position); to settle into (one's position), to take up (a post), to occupy (a role); to be delivered, to be paid (e.g. taxes); to be settled (dispute, conflict, etc.), to be sorted, to subside (e.g. wind), to calm down, to abate; to be satisfied (e.g. with an answer), to consent, to agree"
"何事","なにごと","what, what sort of thing; everything, anything; what (on earth)?, what's the meaning of this ...?, what's this ... all about?"
"支度","したく","preparation, arrangements"
"母さん","かあさん, かかさん","mother; wife"
"豆","まめ, マメ","legume (esp. edible legumes or their seeds, e.g. beans, peas, pulses), bean, pea; soya bean (Glycine max), soybean, soy; female genitalia (esp. the clitoris); kidney; small, miniature, baby, midget, small-scale; child"
"お負けに","おまけに","to make matters worse, besides, what's more, in addition, on top of that"
"性質","せいしつ","nature (of a person), disposition, temperament, character; quality, inherent characteristic, property, nature, (chemical) behavior"
"空中","くうちゅう","sky, air, mid-air"
"晴れる","はれる","to clear up, to clear away, to be sunny, to stop raining; to refresh (e.g. spirits); to be cleared (e.g. of a suspicion); to be dispelled, to be banished"
"","バレル, バーレル","barrel"
"霜","しも","frost; white hair, grey hair, gray hair"
"召す","めす","to call, to summon, to send for, to invite; to eat, to drink; to put on, to wear; to buy, to purchase; to take (a bath); to ride, to get in (a vehicle), to take; to catch (a cold); to put on (years), to get old; to strike one's fancy, to please one; to do; to commit seppuku; indicates respect"
"担ぐ","かつぐ","to shoulder, to carry on one's shoulder; to nominate for a position, to choose as a representative; to take (someone) for a ride, to deceive, to take in; to be caught up in superstition"
"妖精","ようせい","fairy, sprite, elf"
"","チャンス","chance, opportunity"
"出現","しゅつげん","appearance, emergence, advent, arrival, showing up, coming to existence"
"譲る","ゆずる","to hand over, to transfer, to turn over, to assign, to convey, to bequeath; to give up (e.g. one's seat), to give way; to yield, to concede, to give ground, to surrender; to sell; to postpone, to put off, to defer"
"攻める","せめる","to attack, to assault, to assail"
"犯す","おかす","to commit (e.g. crime), to perpetrate, to make (e.g. mistake); to break (e.g. rule), to violate, to transgress, to contravene; to rape, to violate, to ravish, to deflower"
"自慢","じまん","pride, boast"
"筋","すじ, スジ","muscle, tendon, sinew; vein, artery; fiber, fibre, string; line, stripe, streak; reason, logic; plot, storyline; lineage, descent; school (e.g. of scholarship or arts); aptitude, talent; source (of information, etc.), circle, channel; well-informed person (in a transaction); logical move (in go, shogi, etc.); ninth vertical line; seam on a helmet; gristly fish paste (made of muscle, tendons, skin, etc.); social position, status; on (a river, road, etc.), along; counter for long thin things, counter for roads or blocks when giving directions; street (in Osaka); (Edo period) counter for hundreds of mon (obsolete unit of currency)"
"決まって","きまって","always, without fail, invariably, usually, regularly"
"先進国","せんしんこく","advanced (developed) country, advanced nations"
"収支","しゅうし","income and expenditure"
"地","ち","earth, ground, land, soil; place; territory; bottom (of a package, book, etc.); earth (one of the five elements)"
"過半数","かはんすう","majority"
"床","とこ","bed, bedding; sickbed; alcove; riverbed; seedbed; straw ""core"" of a tatami mat; floor"
"不振","ふしん","dullness, slump, stagnation, inactivity, depression"
"実","じつ, じち","truth, reality; sincerity, honesty, fidelity; content, substance; (good) result"
"未満","みまん","less than, under, below"
"住み心地","すみごこち, すみここち","(level of) comfort (in the place one lives)"
"売れ行き","うれゆき","sales, demand"
"始まり","はじまり","origin, beginning, start"
"現行犯","げんこうはん","flagrante delicto, caught red-handed"
"歩","ほ","step, stride; counter for steps"
"辺","へん","area, vicinity, region; side, edge; circumstances"
"無断","むだん","absence of permission, lack of permission; absence of (advance) notice, lack of notice"
"具体化","ぐたいか","embodiment, materialization, actualization, realization, taking form, taking shape"
"採点","さいてん","marking, grading, scoring"
"拳","こぶし","fist"
"未払い","みはらい, みばらい","unpaid, overdue"
"落ち着き","おちつき","calmness, composure, presence of mind; stability, steadiness"
"手話","しゅわ","sign language"
"未解決","みかいけつ","unsolved, unresolved, unsettled, pending, outstanding"
"論点","ろんてん","point in question (at issue)"
"脅し","おどし","threat; bird-scaring device (scarecrow, gun, etc.)"
"遺言","ゆいごん","will, testament, one's dying wish, one's last words"
"恨み","うらみ","resentment, grudge, malice, bitterness; matter for regret, regret"
"豊作","ほうさく","abundant harvest, bumper crop"
"議案","ぎあん","legislative bill, measure; agenda item"
"人工衛星","じんこうえいせい","artificial satellite, man-made satellite"
"訪れ","おとずれ","visit, call; arrival (e.g. of spring), advent, coming, appearance; news, tidings, word"
"借り","かり","borrowing, debt, loan"
"満席","まんせき","full house, all seats occupied, fully occupied"
"つぎ込む","つぎこむ","to invest in, to sink money into, to put into, to lay out (funds), to inject, to impregnate, to infuse, to instill, to implant, to imbue, to focus (attention, efforts)"
"好天","こうてん","fine weather"
"持ち帰り","もちかえり","takeout (food), take-out, takeaway, carry-out, to-go"
"山火事","やまかじ","forest fire, wildfire, bushfire"
"折り返し","おりかえし","by return, (call or write back) without delay; lapel, cuff, turn-up, flap; going back, returning, turn (marathon, swimming, etc.); chorus, refrain; shuttle service; aliasing (in imaging); back-to-back, BTB; wrapping (text on computer screen), wrap"
"総計","そうけい","total, sum total, total amount"
"海抜","かいばつ","height above sea level"
"厳守","げんしゅ","strict observance, rigid adherence, scrupulous compliance"
"禁酒","きんしゅ","abstinence from alcohol, temperance; prohibition of drinking"
"刺","とげ, トゲ","thorn, spine, prickle; splinter (esp. lodged in one's flesh), hard sharp item (esp. lodged in one's throat, e.g. fish bone); biting words"
"慣らす","ならす","to accustom, to train (e.g. one's ear); to tame, to domesticate, to train (an animal)"
"儲け","もうけ","profit, earnings"
"","メイド, メード","maid"
"温度計","おんどけい","thermometer"
"丸","まる, マル","circle; entirety, whole, full, complete; money, dough, moola; enclosure inside a castle's walls; soft-shelled turtle; suffix for ship names, suffix for names of people (esp. infants), suffix for names of swords, armour, musical instruments, etc., suffix for names of dogs, horses, etc."
"競争力","きょうそうりょく","competitiveness, competitive edge, competitive power"
"健康診断","けんこうしんだん","health checkup, (general) medical examination, physical examination"
"摂氏","せっし","Celsius, centigrade"
"頭","とう","counter for large animals (e.g. head of cattle), counter for insects in a collection, counter for helmets, masks, etc."
"罰","ばつ","punishment, penalty"
"表","ひょう","table, chart, list; memorial to an emperor"
"謎々","なぞなぞ","riddle, puzzle, enigma"
"時は金なり","ときはかねなり","time is money"
"","コアラ","koala"
"得撒","テキサス, テクサス","Texas"
"","ポップス","pop music, popular music"
"凭れる","もたれる","to lean against, to lean on, to recline on; to lie heavy (on the stomach), to be uneasily digested"
"","チーズケーキ, チーズ・ケーキ","cheese cake"
"直行便","ちょっこうびん","non-stop flight, direct flight"
"孤独","こどく","solitude, loneliness, isolation"
"お袋","おふくろ, オフクロ","(one's) mother"
"怯える","おびえる","to become frightened, to be frightened (of), to be scared (of)"
"不審","ふしん","doubt, suspicion, question, strangeness"
"場面","ばめん","scene, setting, place (where something happens), scenario, case; scene (in a movie, play), shot; state of the market"
"どうでも良い","どうでもいい, どうでもよい","inconsequential, indifferent, not worth worrying about, trivial; whatever, whichever, I don't care"
"来","らい","next (year, spring, etc.), coming; since (e.g. last month), for (e.g. 20 years)"
"尊敬","そんけい","respect, esteem, reverence, honour, honor"
"動作","どうさ","movement (of the body), action, motion, gesture; bearing, carriage, behaviour, behavior, demeanour, demeanor; operation (of a machine, software, etc.), running, working, functioning"
"杯","さかずき, さかづき, うき","sake cup, cup for alcoholic beverages"
"笑い声","わらいごえ","(sound of) laughter, laughing voice"
"話し合う","はなしあう","to discuss, to talk together"
"市民","しみん","citizen (of a country), citizenry; citizen (of a city), resident, inhabitant, townspeople; bourgeoisie, middle class"
"眼差し","まなざし","(a) look, gaze"
"岸","きし","bank, coast, shore"
"運転","うんてん","operation (of a machine), running, working; driving (a vehicle); use (of capital, funds, etc.), management, investment"
"幕府","ばくふ","shogunate, bakufu; shogun's headquarters; Imperial Guards office, residence of the Imperial Guards commander"
"戦後","せんご","postwar period, period after Second World War"
"時折","ときおり, ときより","sometimes, at intervals, occasionally, on occasion, from time to time"
"嫉妬","しっと","jealousy, envy"
"捧げる","ささげる","to lift up, to hold up, to hold above eye level; to give, to offer, to consecrate; to devote, to sacrifice, to dedicate"
"曖昧","あいまい","vague, ambiguous, unclear; shady, disreputable; fuzzy"
"","バッグ, バック","bag"
"ああ言う","ああいう, ああゆう, あーゆー, あーいう","that sort of, like that"
"不快","ふかい","displeasure, discomfort, unpleasantness; indisposition, ailment"
"称する","しょうする","to call, to name; to call oneself ..., to go by the name of ...; to purport (to be), to profess, to claim, to pretend, to feign; to praise, to applaud"
"記者","きしゃ","reporter, journalist"
"ご主人","ごしゅじん","your husband, her husband"
"咲く","さく","to bloom, to flower, to blossom, to open; to rise up (of breaking waves)"
"事務","じむ","office work, clerical work, administration, business, affairs"
"塞ぐ","ふさぐ","to stop up, to close up, to block (up), to plug up, to shut up, to cover (ears, eyes, etc.), to close (eyes, mouth); to stand in the way, to obstruct; to occupy, to fill up, to take up; to perform one's role, to do one's duty; to feel depressed, to be in low spirits, to mope"
"","トイレ","toilet, restroom, bathroom, lavatory; going to the toilet, relieving oneself"
"尖る","とがる, とんがる","to taper to a point, to become pointed, to become sharp; to be on edge, to be nervous, to be irritable, to be touchy; to be sharp (of a voice, words, etc.), to be harsh, to be angry, to look displeased, to look sour; to be provocative, to be radical, to be rebellious"
"褒める","ほめる","to praise, to commend, to compliment, to speak well of, to speak highly of"
"売れる","うれる","to sell (well); to be well known, to be popular, to be famous"
"興す","おこす","to vitalize (e.g. an industry), to invigorate, to energize, to revive, to promote, to make prosperous; to establish (e.g. a company), to build up, to set up, to launch, to commence"
"機能","きのう","function, facility, faculty, feature"
"","ボール","ball; ball (pitch delivered outside the strike zone)"
"実験","じっけん","experiment, experimentation"
"曇る","くもる","to get cloudy, to cloud over, to become overcast; to cloud up, to fog up, to mist up, to become dim; to be gloomy, to be clouded (expression), to be downcast; to look slightly downward (of a noh mask; indicating sadness, grief, etc.)"
"計る","はかる","to measure, to weigh, to survey, to time (sound, gauge, estimate); to conjecture, to infer, to surmise"
"お宅","おたく","your house, your home, your family; your husband; your organization; you"
"旁","つくり","right-hand radical of a character"
"写る","うつる","to be photographed, to be projected"
"器","うつわ","bowl, vessel, container; ability, capacity, calibre, caliber"
"泥棒","どろぼう, ドロボー, どろぼー","thief, burglar, robber; theft, burglary, robbery"
"天使","てんし","angel"
"髪の毛","かみのけ","hair (on the head), (a) hair"
"付近","ふきん","neighborhood, neighbourhood, vicinity, environs, surrounding area, district"
"好奇心","こうきしん","curiosity, inquisitiveness"
"あの方","あのかた","that gentleman, that lady, he, she"
"古代","こだい","ancient times, distant past, antiquity"
"今にも","いまにも","at any moment (now), at any minute, on the verge of (doing), just about to"
"陽気","ようき","cheerful, jovial, merry, lively; weather, season; spirit of yang"
"","メモ","note, memo, memorandum"
"","スト","strike (i.e. industrial action)"
"","どうにか","in some way or other, one way or another, somehow, only just, barely"
"暗闇","くらやみ","darkness, the dark"
"幾つ","いくつ","how many; how old"
"王女","おうじょ, おうにょ","princess"
"選手","せんしゅ","player (of a sport), athlete, team member"
"死者","ししゃ","dead person, (the) deceased, (the) dead, casualties"
"見合わせる","みあわせる","to exchange glances, to look at each other; to postpone, to put off, to withhold, to abandon; to contrast, to compare"
"操る","あやつる","to operate (e.g. a machine), to handle, to manage, to control, to maneuver, to steer; to have a good command of (a language), to play proficiently (of a musical instrument); to work (a puppet), to pull the strings of a puppet; to manipulate (a person, public opinion, etc.), to pull the strings, to control from the shadows, to mastermind"
"猿","さる, サル","monkey (esp. the Japanese macaque, Macaca fuscata), ape, non-human primate; sly person; idiot, hick; sliding wooden bolt (for holding a door or window shut); clasp used to control the height of a pot-hook; bathhouse prostitute"
"","こっそり, コッソリ","stealthily, secretly, in secret"
"早める","はやめる","to bring forward (e.g. by 3 hours), to advance, to hasten (e.g. one's death), to expedite, to precipitate; to quicken (e.g. one's step), to speed up, to accelerate"
"師匠","ししょう","master, teacher; stable master"
